西十二S401	0	0	60	20	80	158
西十二S410	0	0	0	0	0	79
西十二S406	0	0	60	0	60	102
西十二S307	0	0	48	0	48	36
西十二S306	0	0	36	6	42	78
西十二S208	0	0	84	40	124	79
西十二S206	0	0	0	48	48	89
西十二S205	0	24	180	24	204	78
西十二S204	0	8	168	48	216	126
西十二S309	0	8	76	12	88	125
西十二S409	0	16	84	12	96	132
西十二S505	16	12	274	80	354	78
西十二S202	8	8	32	48	80	236
西十二S203	24	0	20	120	140	158
西十二S312	0	0	96	0	96	135
西十二N312	0	0	96	0	96	125
西十二N204	2	0	26	0	26	130
西十二N209	2	0	26	0	26	110
西十二S209	2	0	26	0	26	130
西十二S302	4	0	52	0	52	120
西十二S301	2	0	26	0	26	150
西十二S303	12	16	124	72	196	134
西五219	12	0	120	0	120	210
西十二N512	0	8	40	0	40	120
西十二S210	0	8	40	0	40	120
西十二N503	8	0	64	0	64	114
西十二N102	4	0	64	0	64	108
西十二S104	0	8	60	20	80	110
西十二N101	4	0	64	0	64	168
西十二N404	0	8	40	0	40	120
西十二N210	0	8	40	0	40	124
西十二S102	0	8	20	20	40	120
西五220	18	8	66	80	146	190
西十二S101	20	24	304	0	304	160
西十二S103	22	0	68	118	186	180
西十二N112	20	0	126	40	166	190
西十二S112	4	0	34	0	34	140
